candidate,office,district,party,county,precinct,votes,vtd
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-6,210,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-6,186,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 12-6,272,
,Registered Voters,,,Wyandotte,Kansas City 12-7,816,
,Ballots Cast,,,Wyandotte,Kansas City 12-7,339,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-7,12,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-7,201,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-7,125,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-7,7,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-7,187,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-7,5,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-7,114,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-7,25,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-7,11,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-7,190,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-7,129,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-7,126,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-7,203,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-7,202,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-7,123,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-7,195,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-7,123,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 12-7,243,
,Registered Voters,,,Wyandotte,Kansas City 12-8,850,
,Ballots Cast,,,Wyandotte,Kansas City 12-8,425,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-8,21,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-8,238,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-8,163,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-8,13,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-8,232,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-8,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-8,152,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-8,22,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-8,22,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-8,222,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-8,168,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-8,164,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-8,246,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-8,240,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-8,167,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-8,230,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-8,174,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 12-8,301,
,Registered Voters,,,Wyandotte,Kansas City 12-9,764,
,Ballots Cast,,,Wyandotte,Kansas City 12-9,471,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-9,13,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-9,274,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-9,182,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-9,11,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-9,278,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-9,4,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-9,153,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-9,22,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-9,13,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-9,268,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-9,179,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-9,177,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-9,284,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-9,277,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-9,181,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-9,279,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-9,172,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 12-9,322,
,Registered Voters,,,Wyandotte,Kansas City 12-10,516,
,Ballots Cast,,,Wyandotte,Kansas City 12-10,346,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-10,9,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-10,149,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-10,185,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-10,7,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-10,146,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-10,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-10,172,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-10,18,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-10,14,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-10,141,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-10,185,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-10,192,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-10,149,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-10,152,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-10,188,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-10,133,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-10,202,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 12-10,210,
,Registered Voters,,,Wyandotte,Kansas City 12-11,293,
,Ballots Cast,,,Wyandotte,Kansas City 12-11,173,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 12-11,7,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 12-11,65,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 12-11,101,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 12-11,3,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 12-11,73,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 12-11,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 12-11,90,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 12-11,6,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 12-11,9,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 12-11,66,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 12-11,90,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 12-11,95,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 12-11,68,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 12-11,71,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 12-11,91,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 12-11,62,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 12-11,99,
Tom Burroughs,State House,33,Democratic,Wyandotte,Kansas City 12-11,94,
Jason Conley,State House,33,Libertarian,Wyandotte,Kansas City 12-11,45,
,Registered Voters,,,Wyandotte,Kansas City 13-1,951,
,Ballots Cast,,,Wyandotte,Kansas City 13-1,448,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 13-1,14,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 13-1,370,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 13-1,60,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 13-1,27,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 13-1,336,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 13-1,6,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 13-1,56,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 13-1,16,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 13-1,17,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 13-1,341,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 13-1,71,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 13-1,74,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 13-1,363,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 13-1,360,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 13-1,71,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 13-1,353,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 13-1,80,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 13-1,379,
,Registered Voters,,,Wyandotte,Kansas City 13-2,781,
,Ballots Cast,,,Wyandotte,Kansas City 13-2,409,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 13-2,18,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 13-2,273,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 13-2,112,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 13-2,16,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 13-2,276,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 13-2,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 13-2,89,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 13-2,21,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 13-2,18,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 13-2,274,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 13-2,103,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 13-2,112,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 13-2,285,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 13-2,291,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 13-2,105,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 13-2,278,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 13-2,114,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 13-2,310,
,Registered Voters,,,Wyandotte,Kansas City 13-3,699,
,Ballots Cast,,,Wyandotte,Kansas City 13-3,368,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 13-3,12,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 13-3,291,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 13-3,62,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 13-3,21,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 13-3,279,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 13-3,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 13-3,57,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 13-3,5,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 13-3,15,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 13-3,276,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 13-3,65,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 13-3,70,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 13-3,288,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 13-3,284,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 13-3,72,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 13-3,273,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 13-3,81,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 13-3,302,
,Registered Voters,,,Wyandotte,Kansas City 13-4,589,
,Ballots Cast,,,Wyandotte,Kansas City 13-4,274,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 13-4,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 13-4,241,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 13-4,21,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 13-4,6,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 13-4,235,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 13-4,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 13-4,19,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 13-4,5,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 13-4,7,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 13-4,232,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 13-4,21,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 13-4,22,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 13-4,242,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 13-4,239,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 13-4,22,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 13-4,241,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 13-4,23,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 13-4,242,
,Registered Voters,,,Wyandotte,Kansas City 13-5,749,
,Ballots Cast,,,Wyandotte,Kansas City 13-5,376,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 13-5,10,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 13-5,277,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 13-5,85,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 13-5,6,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 13-5,264,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 13-5,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 13-5,78,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 13-5,22,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 13-5,17,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 13-5,262,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 13-5,81,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 13-5,90,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 13-5,279,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 13-5,273,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 13-5,92,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 13-5,265,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 13-5,97,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 13-5,289,
,Registered Voters,,,Wyandotte,Kansas City 13-6,784,
,Ballots Cast,,,Wyandotte,Kansas City 13-6,352,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 13-6,14,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 13-6,240,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 13-6,97,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 13-6,23,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 13-6,226,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 13-6,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 13-6,84,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 13-6,16,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 13-6,12,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 13-6,227,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 13-6,104,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 13-6,103,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 13-6,237,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 13-6,233,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 13-6,105,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 13-6,232,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 13-6,106,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 13-6,267,
,Registered Voters,,,Wyandotte,Kansas City 13-7,509,
,Ballots Cast,,,Wyandotte,Kansas City 13-7,286,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 13-7,15,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 13-7,179,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 13-7,92,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 13-7,9,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 13-7,173,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 13-7,4,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 13-7,87,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 13-7,12,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 13-7,14,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 13-7,163,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 13-7,106,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 13-7,96,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 13-7,184,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 13-7,182,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 13-7,96,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 13-7,170,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 13-7,108,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 13-7,190,
,Registered Voters,,,Wyandotte,Kansas City 13-8,592,
,Ballots Cast,,,Wyandotte,Kansas City 13-8,322,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 13-8,13,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 13-8,230,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 13-8,78,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 13-8,10,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 13-8,224,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 13-8,5,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 13-8,66,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 13-8,14,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 13-8,13,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 13-8,220,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 13-8,82,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 13-8,85,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 13-8,230,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 13-8,228,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 13-8,85,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 13-8,225,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 13-8,83,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 13-8,260,
,Registered Voters,,,Wyandotte,Kansas City 13-9,850,
,Ballots Cast,,,Wyandotte,Kansas City 13-9,458,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 13-9,16,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 13-9,342,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 13-9,98,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 13-9,23,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 13-9,342,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 13-9,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 13-9,77,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 13-9,14,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 13-9,16,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 13-9,329,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 13-9,103,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 13-9,105,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 13-9,344,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 13-9,338,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 13-9,106,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 13-9,340,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 13-9,104,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 13-9,373,
,Registered Voters,,,Wyandotte,Kansas City 14-1,826,
,Ballots Cast,,,Wyandotte,Kansas City 14-1,463,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-1,21,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-1,238,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-1,199,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-1,5,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-1,245,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-1,5,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-1,173,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-1,20,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-1,26,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-1,227,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-1,201,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-1,207,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-1,247,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-1,243,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-1,203,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-1,228,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-1,219,
Chiquita C. Coggs,State House,36,Republican,Wyandotte,Kansas City 14-1,188,
Kathy Wolfe Moore,State House,36,Democratic,Wyandotte,Kansas City 14-1,268,
,Registered Voters,,,Wyandotte,Kansas City 14-2,408,
,Ballots Cast,,,Wyandotte,Kansas City 14-2,247,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-2,7,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-2,167,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-2,73,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-2,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-2,163,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-2,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 14-2,67,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 14-2,5,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 14-2,5,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 14-2,161,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 14-2,77,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 14-2,78,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 14-2,163,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 14-2,164,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 14-2,76,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 14-2,167,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 14-2,74,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 14-2,183,
,Registered Voters,,,Wyandotte,Kansas City 14-3,359,
,Ballots Cast,,,Wyandotte,Kansas City 14-3,226,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 14-3,7,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 14-3,162,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 14-3,55,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 14-3,4,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 14-3,161,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 14-3,4,
